names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
PropNex,0.515,0.515,-,20 Dec 2019,190.55M,370.00M,21.97%,4.71M,0.06,-,SGD 0.50894,SGD 0.50898,-,-,-,-,-,-,-,-,114.88M,142.11M,75.67M,-,-,-,-,204.77,25.65M,-,14.74M,-,-,-,-,Real Estate / Real Estate Services / 
EnGro,0.970,0.975,-,20 Dec 2019,115.73M,118.64M,33.89%,0.16M,0.05,-,SGD 0.95716,SGD 0.95716,-,-,-,-,-,-,-,0.781,76.74M,257.23M,43.72M,-,-,-,-,180.77,-2.21M,-,9.32M,-,-,-,-,Mineral Resources / Construction Materials / 
Frasers Property,1.680,1.690,-,20 Dec 2019,"4,933.94M",2.92B,12.49%,4.81M,0.19,-,SGD 1.76355,SGD 1.76368,-,-,-,-,-,-,-,147.252,"18,749.86M","37,632.93M","3,579.98M",-,-,-,-,"3,439.59",890.04M,-,465.09M,-,-,-,-,Real Estate / Real Estate Development & Operations / 
Koufu,0.780,0.785,-,20 Dec 2019,435.53M,554.81M,18.61%,15.43M,0.05,-,SGD 0.74078,SGD 0.74078,-,-,-,-,-,-,-,4.774,344.32M,159.70M,95.98M,-,-,-,-,97.29,29.05M,-,28.70M,-,-,-,-,Cyclical Consumer Services / Restaurants & Bars / 
China Everbright,0.320,0.320,-,20 Dec 2019,"1,825.51M",2.86B,97.10%,30.67M,0.04,-,SGD 0.32857,SGD 0.3284,-,-,-,-,-,-,-,68.148,"2,754.91M","19,584.39M","2,253.92M",-,-,-,-,"1,815.15","1,324.80M",-,132.90M,-,-,-,-,Utilities / Water Utilities / 
Citic Envirotech,0.545,0.545,-,20 Dec 2019,"1,325.64M",2.43B,15.75%,60.91M,0.04,-,SGD 0.4303,SGD 0.42993,-,-,-,-,-,-,-,85.042,"2,332.83M","3,786.76M",376.52M,-,-,-,-,348.98,198.15M,-,-1.92M,-,-,-,-,Industrial & Commercial Services / Environmental Services & Equipment / 
Bumitama Agri,0.760,0.745,-,20 Dec 2019,"1,309.36M",1.74B,47.81%,17.28M,0.06,-,SGD 0.63638,SGD 0.63421,-,-,-,-,-,-,-,12.030,"1,785.81M","16,538,804.00M","299,053.00M",-,-,-,-,"5,542,123.00","1,811,910.00M",-,61.16M,-,-,-,-,Food & Beverages / Food Processing / 
Man Oriental USD,1.770,USD 1.770,-,20 Dec 2019,"2,235.84M",1.26B,20.12%,8.43M,0.05,-,USD 1.54994,USD 1.54897,-,-,-,-,-,-,-,13.583,"2,687.54M","2,179.00M",246.80M,-,-,-,-,607.30,69.60M,-,9.20M,-,-,-,-,"Cyclical Consumer Services / Hotels, Motels & Cruise Lines / "
Stamford Land,0.500,0.500,-,20 Dec 2019,432.04M,820.74M,43.56%,3.66M,0.05,-,SGD 0.48656,SGD 0.48656,-,-,-,-,-,-,-,-,369.53M,667.40M,168.23M,-,-,-,-,226.49,62.73M,-,33.67M,-,-,-,-,"Cyclical Consumer Services / Hotels, Motels & Cruise Lines / "
Bukit Sembawang,4.780,4.740,-,20 Dec 2019,"1,227.24M",258.91M,54.35%,4.19M,0.39,-,SGD 5.08998,SGD 5.05794,-,-,-,-,-,-,-,28.151,"1,441.98M","1,781.55M",167.90M,-,-,-,-,282.00,132.87M,-,99.72M,-,-,-,-,Real Estate / Real Estate Development & Operations / 
Valuetronics,0.815,0.825,-,20 Dec 2019,359.40M,435.00M,64.27%,74.48M,0.08,-,SGD 0.72432,SGD 0.72425,-,-,-,-,-,-,-,-,197.66M,"2,013.37M",930.45M,-,-,-,-,"1,952.90",224.65M,-,36.43M,-,-,-,-,Technology Equipment / Electronic Equipment & Parts / 
