name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita
SUTL Enterprise,0.575,0.585,-,30 Jun 2019,50.58M,86.46M,41.11%,0.07,0.16M,SGD 0.58593,SGD 0.58593,8.567991452991453,2.457769011615165,4.418162393162393,0.882,3.419,2.222,-45.41M,-,5.17M,126.15M,45.41M,10.491,4.400,-2.67M,-,19.88M,6.69M,35.926,5.80M,28.224,-32.095,-,-
Grand Banks,0.270,0.260,-,30 Jun 2019,47.90M,184.23M,31.32%,0.05,0.17M,SGD 0.29504,SGD 0.29504,4.797,0.593,3.754,0.859,1.923,-,0.43M,3.64M,41.93M,82.25M,8.44M,18.693,11.390,-8.27M,-,80.73M,5.77M,8.319,9.40M,11.640,9.788,-,-
BBR,0.173,0.167,-,30 Jun 2019,54.23M,322.39M,55.70%,-0.01,1.25M,SGD 0.1785,SGD 0.1785,-,-,-,0.400,2.395,-,44.04M,72.81M,98.26M,289.11M,56.69M,-2.450,-,-0.89M,-,-,-4.66M,-,-,-,-23.362,-,-
LCT,0.330,0.325,-,30 Jun 2019,12.89M,35.24M,70.34%,0.05,0.24M,SGD 0.35096,SGD 0.35096,5.47078125,5.2737802734375,6.0802499999999995,0.394,-,-,-7.82M,-,3.23M,169.01M,47.74M,6.606,6.534,-0.71M,-,2.60M,12.83M,112.238,2.16M,83.055,-68.479,-31.306,-
IEV,0.027,0.013,-,30 Jun 2019,3.72M,285.51M,49.16%,-0.01,0.29M,SGD 0.01455,SGD 0.01455,-,6.983819999999999,-,-,-,-,0.61M,-,4.33M,24.23M,1.11M,-,-23.132,-0.87M,-,0.97M,-8.61M,-290.716,-2.87M,-296.253,-57.188,-,-
Manhattan Res,0.020,0.022,-,30 Jun 2019,25.01M,1.14B,65.31%,-0.01,1.63M,SGD 0.02673,SGD 0.02763,1.7313043478260872,0.6722117202268432,2.150434782608696,0.265,-,-,-46.06M,14.12M,-21.05M,253.73M,66.22M,4.253,1.349,-2.79M,-,28.15M,10.20M,36.229,3.74M,11.936,2.418,6.948,-
Interra Resource,0.032,0.032,-,30 Jun 2019,18.80M,585.97M,59.25%,0.00,7.06M,SGD 0.03497,SGD 0.03497,16.9,0.931,7.868,0.512,-,-,-7.65M,-,11.16M,39.76M,6.64M,3.533,1.645,-8.48M,-,20.19M,0.37M,2.452,1.18M,5.233,-25.416,-37.266,-
TTJ,0.245,0.280,-,30 Jun 2019,98.00M,349.50M,13.00%,0.03,0.21M,SGD 0.28315,SGD 0.28315,13.380499999999998,0.8697499999999997,10.067749999999998,0.710,2.500,6.579,-51.54M,0.06M,45.33M,166.68M,56.75M,6.608,3.664,-23.84M,-,86.24M,10.64M,9.208,6.40M,7.011,-6.166,-9.686,-
Bund Center,0.555,0.600,-,30 Jun 2019,456.29M,758.77M,15.30%,0.03,0.54M,SGD 0.58566,SGD 0.58566,15.879475000000005,3.2838887500000014,11.425600000000003,1.047,7.000,-,-142.57M,0.02M,313.72M,498.96M,142.74M,6.194,5.573,-1.08M,-,118.88M,35.41M,29.787,26.52M,23.081,-0.112,-2.546,-
Sincap,0.007,0.008,-,30 Jun 2019,13.60M,1.70B,54.20%,-0.00,16.41M,SGD 0.01029,SGD 0.01029,-,-,-,0.314,-,-,9.81M,28.45M,23.41M,282.36M,13.00M,-0.403,-,-0.08M,-,-,4.19M,-,-,-,-42.686,-,-
Silkroad Nickel,0.300,0.350,-,30 Jun 2019,44.60M,127.10M,18.14%,-0.04,0.15M,SGD 0.48821,SGD 0.38524,-,4.203183673469388,-,2.668,-,-,0.12M,0.09M,44.73M,15.11M,0.09M,-45.887,-39.858,-1.47M,-,7.80M,-4.71M,-81.980,-6.55M,-84.055,-41.038,-,-
Datapulse Tech,0.245,0.255,-,30 Jun 2019,56.08M,219.07M,61.11%,0.06,3.25M,SGD 0.27735,SGD 0.27557,1.52292,51.1105672,1.33084,0.687,3.922,2.026,-80.54M,-,-24.99M,85.07M,81.18M,62.121,57.629,-1.38M,-,1.05M,-2.86M,-239.811,41.04M,"3,895.072",-57.196,29.242,-
MarcoPolo Marine,0.017,0.017,-,30 Jun 2019,59.92M,3.52B,38.21%,0.02,50.58M,SGD 0.01963,SGD 0.01962,0.146,2.438,0.331,0.538,-,-,-17.39M,0.09M,42.13M,124.76M,17.95M,-,142.713,-1.42M,-,24.57M,176.29M,731.738,173.41M,705.693,-47.851,0.543,-
