names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
CDL HTrust,0.710,0.770 - 0.745,0.77,apr_05_2020,934.38M,1.21B,-,140.78M,0.11,-,SGD 1.38532,SGD 1.38033,7.653246753246753,4.035180637544274,6.837207792207792,0.504,8.32451948051948,5.044688311688311,967.65M,55.223,"1,902.03M","3,061.13M",136.03M,6.091,3.787,-18.57M,-,196.87M,87.61M,44.502,112.73M,57.935,-0.281,-5.114,116.89M,Real Estate / Specialized REITs / 
HSI20600MBePW200528,0.166,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Ascendas-iTrust,1.050,1.210 - 1.120,1.13,apr_05_2020,"1,294.43M",1.15B,-,43.73M,-,-,SGD 1.49456,SGD 1.4731,3.28037500029661,5.016375,3.34774999970339,1.038,0.4576249997033898,-,644.71M,45.307,"1,939.14M","2,318.92M",108.48M,-,14.493,-0.32M,-,197.55M,288.67M,240.423,318.47M,171.05,-,-,127.65M,Real Estate / Commercial REITs / 
DairyFarm USD,4.310,USD 4.450 - 4.290,USD 4.440,apr_05_2020,"6,006.00M",1.35B,-,26.63M,0.25,-,USD 5.25013,USD 5.21899,17.38803912623318,0.4714256004820829,4.239728261163677,4.967,4.4318043475739906,2.7152999999999996,"4,126.60M",228.374,"10,132.60M","8,369.90M",301.40M,27.727,3.845,-286.50M,-,"11,192.30M",425.60M,3.803,323.80M,2.904,0.322,-8.662,"1,427.80M",Food & Drug Retailing / Food Retail & Distribution / 
ManulifeReit USD,0.665,0.710 - 0.680,0.7,apr_05_2020,"1,100.47M",1.57B,-,144.53M,0.03,-,USD 0.93274,USD 0.93351,18.748316897769786,5.4284632015064975,-,0.873,7.962204224920864,-,751.38M,58.273,"1,851.85M","2,166.46M",60.75M,4.096,2.397,-,-,177.85M,58.05M,32.637,47.57M,26.744,2.308,-2.638,98.20M,Real Estate / Commercial REITs / 
Lendlease Reit,0.465,0.535 - 0.515,0.515,apr_05_2020,-,-,-,-,-,-,SGD 0.84034,SGD 0.84266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Medtecs Intl,0.095,0.088 - 0.077,0.085,apr_05_2020,46.70M,549.41M,-,"1,345.38M",0,-,SGD 0.10816,SGD 0.10816,34.83415584261364,0.723035081492123,5.836948052102272,0.515,-,-,54.36M,14.839,101.06M,116.60M,8.00M,1.846,1.016,-3.12M,-,98.42M,1.52M,2.199,1.66M,1.69,1.653,19.662,12.93M,"Healthcare Services / Medical Equipment, Supplies & Distribution / "
SingPost,0.625,0.645 - 0.625,0.64,apr_05_2020,"1,456.06M",2.25B,-,86.53M,0.02,-,SGD 0.83951,SGD 0.83915,-,1.0249395496634361,17.31200787298387,0.892,5.382874016129032,3.1948818901209672,33.19M,0.56,"1,347.48M","2,619.24M",399.45M,0.246,0.642,-31.32M,-,"1,375.62M",70.96M,2.391,5.92M,1.239,9.86,-54.511,202.98M,Transportation / Air Freight & Logistics / 
First Resources,1.170,1.260 - 1.190,1.22,apr_05_2020,"1,932.57M",1.58B,-,27.67M,0.08,-,SGD 1.59209,SGD 1.57618,14.11242856725,1.899525510163125,7.667214285899999,1.297,1.7884285711499999,1.4959285711499999,502.66M,20.743,"2,435.22M","1,708.94M",59.02M,9.019,5.681,-121.02M,-,877.32M,154.58M,25.139,127.17M,15.153,-0.021,-12.462,310.37M,Food & Beverages / Food Processing / 
Kep Infra Tr,0.400,0.420 - 0.405,0.415,apr_05_2020,"2,072.89M",4.99B,-,229.75M,0.01,-,SGD 0.49786,SGD 0.4978,58.93463414320988,1.2592504459686022,11.035121955555557,1.277,6.7287804879012345,-,"1,996.85M",69.896,"4,069.74M","5,003.28M",470.09M,2.883,0.231,-33.41M,-,"1,566.72M",159.35M,10.171,38.58M,0.651,-,-,332.42M,Utilities / Natural Gas Utilities / 
Sheng Siong,1.220,1.170 - 1.140,1.16,apr_05_2020,"1,744.10M",1.50B,-,61.02M,0.05,-,SGD 1.19012,SGD 1.18905,24.43606956881356,1.9796564082286705,15.745426088305088,5.568,3.2462608696101696,3.705617391169492,-19.44M,9.653,"1,724.67M",532.76M,76.42M,25.099,15.634,-53.61M,-,991.28M,92.58M,9.34,75.73M,7.642,5.27,8.538,134.38M,Food & Drug Retailing / Food Retail & Distribution / 
DLC SG7xShortHSI210114,1.230,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
SPHREIT,0.680,0.765 - 0.735,0.765,apr_05_2020,"2,109.27M",2.76B,-,76.16M,0.06,-,SGD 1.01431,SGD 1.01338,11.776888892266667,7.092938271462402,12.318222222400003,0.721,5.4453333333866665,4.070222221973333,660.49M,29.437,"2,857.76M","3,948.40M",342.66M,5.77,4.075,-0.07M,-,234.97M,149.18M,64.939,149.72M,64.697,-0.129,-8.626,164.07M,Real Estate / Commercial REITs / 
UMS,0.615,0.625 - 0.600,0.61,apr_05_2020,327.22M,536.43M,-,128.69M,0.06,-,SGD 0.8827,SGD 0.88265,9.831934425774191,2.5218388206588833,8.229909835935484,1.345,5.785032787112901,5.957434425774193,-16.08M,2.993,311.14M,287.21M,34.36M,14.224,11.815,-2.21M,-,131.91M,33.60M,25.471,33.56M,25.179,3.734,6.123,41.50M,Technology Equipment / Semiconductors / 
HSI25000MBeCW200528,0.100,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
