names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
Clearbridge,0.139,0.146 - 0.136,0.143,jan_25_2020,78.43M,580.98M,-,18.68M,-0.03,-,SGD 0.1442,SGD 0.1442,-,5.2877866565743945,-,1.497,-,-,7.00M,5.074,73.55M,62.76M,7.77M,-33.969,-13.541,-1.68M,-,15.50M,-18.40M,-62.310,-10.44M,-71.746,-,-,-5.55M,Healthcare Services / Healthcare Facilities & Services / 
Healthway Med,0.039,0.043 - 0.029,0.040,jan_25_2020,126.81M,4.51B,-,16.49M,-0.00,-,SGD 0.03071,SGD 0.03071,-,2.0382485136741977,73.88751724137931,0.712,-,-,-19.94M,0.043,93.89M,204.30M,33.38M,-3.167,-3.101,-3.13M,-,112.49M,-5.55M,-4.843,-6.63M,-5.894,-6.893,-,5.70M,Healthcare Services / Healthcare Facilities & Services / 
UIC,2.900,2.890 - 2.850,2.890,jan_25_2020,"4,097.14M",1.43B,-,1.36M,0.22,-,SGD 2.87795,SGD 2.88449,7.5663636363636355,5.576781260697345,5.596188811188811,0.568,1.049,1.031,506.28M,4.525,"4,298.69M","8,415.85M",247.89M,4.706,8.119,-6.37M,-,755.36M,380.73M,100.633,628.64M,94.209,0.738,-0.927,298.07M,Real Estate / Real Estate Development & Operations / 
UOB Kay Hian,1.220,1.220 - 1.220,1.220,jan_25_2020,"1,010.67M",821.68M,-,0.81M,0.09,-,SGD 1.21031,SGD 1.21031,16.517,2.873,13.402,0.676,3.821,3.343,384.27M,-,"1,458.21M","3,303.88M",727.22M,5.276,1.885,-4.36M,-,351.74M,86.39M,19.167,60.43M,17.223,-4.048,-6.193,118.67M,Banking & Investment Services / Investment Banking & Brokerage Services / 
Hong Leong Fin,2.650,2.650 - 2.630,2.650,jan_25_2020,"1,187.32M",448.04M,-,1.14M,0.26,-,SGD 2.64101,SGD 2.64101,6.843,5.349,10.913,0.628,5.660,4.696,-939.62M,-,-255.01M,"13,381.26M",-,6.545,0.743,-0.74M,-,388.20M,-,55.390,102.37M,46.114,6.509,10.864,129.93M,Banking & Investment Services / Corporate Financial Services / 
P5 Capital,0.030,0.036 - 0.034,0.035,jan_25_2020,19.51M,557.52M,-,158.72M,-0.00,-,SGD 0.03583,SGD 0.03161,-,1.4664489795918363,39.67714285714285,1.366,-,-,-10.60M,0.816,11.32M,17.23M,8.33M,-9.629,-0.698,-0.20M,-,9.77M,-1.34M,-8.546,-0.12M,-1.249,-26.612,-,-0.29M,Industrial Goods / Electrical Components & Equipment / 
Koufu,0.775,0.805 - 0.785,0.785,jan_25_2020,443.85M,554.81M,-,16.32M,0.05,-,SGD 0.75199,SGD 0.75199,14.993343750000001,1.7784130859375,5.13825,4.622,3.167,-,93.35M,4.774,352.65M,159.70M,95.98M,36.478,11.519,-15.09M,-,234.26M,29.05M,15.661,28.70M,12.321,-,-,150.75M,Cyclical Consumer Services / Restaurants & Bars / 
IX Biopharma,0.210,0.220 - 0.215,0.215,jan_25_2020,142.76M,648.89M,-,5.13M,-0.02,-,SGD 0.22369,SGD 0.22915,-,188.51292148760328,-,8.047,-,-,-9.51M,17.659,130.72M,26.69M,15.87M,-63.048,-51.314,-1.69M,-,0.69M,-13.27M,"-1,921.884",-13.24M,"-1,918.696",-15.146,-,-11.92M,Pharmaceuticals / 
Grand Venture,0.265,0.265 - 0.265,0.265,jan_25_2020,62.08M,234.25M,-,0.71M,0.02,-,SGD 0.24255,SGD 0.24255,15.048,1.668,8.418,2.076,-,-,16.70M,87.890,83.98M,51.35M,2.47M,40.884,5.857,-5.17M,-,37.22M,6.83M,12.851,3.33M,8.954,-,-,8.83M,Industrial Goods / Industrial Machinery & Equipment / 
Tianjin ZX USD,0.850,USD 0.895 - 0.845,USD 0.885,jan_25_2020,"9,343.38M",772.80M,-,67.53M,0.74,-,USD 0.8326,USD 0.8326,18.159,1.365,-,2.113,1.538,1.195,"-1,303.21M",-,"8,099.39M","7,105.31M","1,508.37M",11.946,8.435,-175.81M,-,"6,847.29M",641.55M,10.691,605.84M,9.021,0.329,8.936,537.30M,Pharmaceuticals / 
Hong Leong Asia,0.625,0.665 - 0.640,0.640,jan_25_2020,497.30M,747.82M,-,14.25M,0.07,-,SGD 0.63303,SGD 0.63303,7.763157894736842,0.11394793374413477,1.8045112781954886,0.657,-,-,-487.20M,30.837,-27.08M,"4,817.44M","1,299.35M",3.634,2.941,-137.74M,-,"3,856.81M",195.31M,4.553,30.60M,3.676,-6.020,-13.833,339.14M,"Automobiles & Auto Parts / Auto, Truck & Motorcycle Parts / "
Metal Component,0.028,0.030 - 0.029,0.029,jan_25_2020,11.22M,374.12M,-,102.49M,-0.01,-,SGD 0.02883,SGD 0.02883,-,0.21168,39.214,0.729,-,-,9.70M,8.292,18.98M,41.71M,2.42M,-30.281,-6.860,-1.84M,-,46.23M,-4.99M,-5.043,-2.93M,-6.345,-8.081,-,0.96M,Mineral Resources / Iron & Steel / 
Spindex Ind,1.120,1.090 - 1.060,1.090,jan_25_2020,123.44M,115.37M,-,0.16M,0.13,-,SGD 0.97738,SGD 0.97738,9.046641509433961,0.8975948736205056,5.544,1.007,3.084,3.551,-43.08M,0.171,86.72M,161.15M,36.98M,13.350,8.927,-8.23M,-,153.59M,17.99M,10.925,14.42M,9.387,9.683,10.612,25.79M,Industrial Goods / Industrial Machinery & Equipment / 
Tiong Woon,0.495,0.530 - 0.495,0.505,jan_25_2020,121.92M,232.24M,-,6.12M,0.02,-,SGD 0.44527,SGD 0.44527,16.740339622641507,0.8330326628693483,3.0764716981132074,0.474,0.381,-,88.85M,31.704,209.97M,448.86M,14.52M,1.174,1.514,-22.62M,-,127.72M,5.82M,9.368,6.82M,5.309,-6.640,-31.064,47.45M,Industrial Goods / Heavy Machinery & Vehicles / 
