code,com_name,price,turnover,market_cap,pe,dividend,yearhigh,yearlow,date_update,day_priceinc,day_perceninc,downside,upside
272,SHUI ON LAND,1.34,18520000.0,10800000000.0,5.11,26.54,2.0,1.34,20/04/2020,0.01,0.75,0.0,0.49
1836,STELLA HOLDINGS,8.08,18450000.0,6420000000.0,8.56,26.54,14.5,8.08,20/04/2020,-0.38,-4.49,0.0,0.79
1112,H&H INTL HLDG,29.75,18270000.0,19150000000.0,17.35,26.54,48.35,29.75,20/04/2020,0.4,1.36,0.0,0.63
598,SINOTRANS,1.83,18040000.0,3920000000.0,4.41,26.54,3.6,1.83,20/04/2020,0.0,0.0,0.0,0.97
921,HISENSE HA,7.52,17780000.0,3450000000.0,5.23,26.54,11.92,7.52,20/04/2020,0.01,0.13,0.0,0.59
81,CH OVS G OCEANS,4.77,17670000.0,16320000000.0,4.46,26.54,6.12,4.77,20/04/2020,-0.02,-0.42,0.0,0.28
1701,TU YI HLDG,2.55,17660000.0,2550000000.0,79.94,0.0,2.75,2.55,20/04/2020,0.01,0.39,0.0,0.08
3377,SINO-OCEAN GP,2.03,17430000.0,15460000000.0,5.32,26.54,4.08,2.03,20/04/2020,-0.02,-0.98,0.0,1.01
1357,MEITU,1.43,17370000.0,6160000000.0,0.0,0.0,3.55,1.43,20/04/2020,0.0,0.0,0.0,1.48
1632,MSCTECH,0.57,17310000.0,489580000.0,0.0,0.0,1.51,0.57,20/04/2020,0.03,5.56,0.0,1.65
363,SHANGHAI IND H,12.58,17220000.0,13670000000.0,4.08,26.54,18.065,12.58,20/04/2020,-0.1,-0.79,0.0,0.44
179,JOHNSON ELEC H,13.54,16960000.0,12220000000.0,5.35,26.54,20.6,13.54,20/04/2020,0.18,1.35,0.0,0.52
412,CHINA SDHS FIN,0.425,16950000.0,10390000000.0,0.0,0.0,0.56,0.425,20/04/2020,-0.02,-4.49,0.0,0.32
3958,DFZQ,4.12,16840000.0,4230000000.0000005,10.8,26.54,6.44,4.12,20/04/2020,0.03,0.73,0.0,0.56
1382,PACIFICTEXTILES,4.09,16760000.000000002,5810000000.0,6.86,26.54,7.21,4.09,20/04/2020,0.09,2.25,0.0,0.76
1628,YUZHOU PPT,3.28,16450000.0,17120000000.000002,4.23,26.54,4.78,3.28,20/04/2020,-0.02,-0.61,0.0,0.46
4604,ICBC EURPREF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20/04/2020,0.0,0.0,0.0,0.0
1143,LINK-ASIA INTL,0.042,16410000.0,299640000.0,0.0,0.0,0.139,0.042,20/04/2020,-0.001,-2.33,0.0,2.31
3306,JNBY,7.07,16390000.0,3660000000.0,6.79,26.54,16.72,7.07,20/04/2020,0.0,0.0,0.0,1.36
1458,ZHOU HEI YA,4.68,16270000.0,11150000000.0,24.38,26.54,6.02,4.68,20/04/2020,-0.02,-0.43,0.0,0.29
1238,POWERLONG,4.84,16079999.999999998,20050000000.0,4.3,26.54,5.95,4.84,20/04/2020,-0.03,-0.62,0.0,0.23
1472,SANG HING HLDGS,2.29,16030000.000000002,2290000000.0,0.0,0.0,2.5,2.29,20/04/2020,-0.01,-0.43,0.0,0.09
1475,NISSIN FOODS,6.25,15870000.0,6710000000.0,26.76,26.54,7.49,6.25,20/04/2020,-0.06,-0.95,0.0,0.2
2606,LANGUANGJUSTBON,42.25,15850000.0,2080000000.0,12.37,26.54,56.75,42.25,20/04/2020,0.8,1.93,0.0,0.34
6055,CTIHK,15.92,15840000.0,11010000000.0,30.21,26.54,28.5,15.92,20/04/2020,0.04,0.25,0.0,0.79
2314,LEE & MAN PAPER,5.12,15640000.0,22350000000.0,6.92,26.54,6.65,5.12,20/04/2020,0.12,2.4,0.0,0.3
1743,CANGNAN INST,51.05,15420000.0,913850000.0,23.75,26.54,53.25,51.05,20/04/2020,0.05,0.1,0.0,0.04
