symbol,company,price,change,percen_change,volume,market_cap,sector,industry,pe_ratio,forward_pe,one_yr_tar,eps,day_high_low,div,yield,ex_div_date,div_pay_date,fifty_day_vol,year_high_low,beta
STMNF,Sumitomo Metal Mining Co Ltd,$21.9733,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,$26.05,+0.01,0.04%,"334,208","6,034,583,261",Consumer Services,Broadcasting,,-47.35,$40.00,$-1.34,$26.69/$25.32,N/A,N/A,N/A,N/A,"275,737",$46.52/$16.87,1
FIVN,"Five9, Inc. Common Stock",$97.29,+1.23,1.28%,"564,072","6,031,089,699",Technology,EDP Services,,-1067.33,$90.00,$-0.08,$98.71/$94.65,N/A,N/A,N/A,N/A,"1,179,257",$97.83/$46.09,1
SMPFF,San Miguel Food & Beverage Inc,$1.02,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
AMED,Amedisys Inc Common Stock,$186.50,-4.53,2.37%,"217,336","6,026,557,830",Health Care,Medical/Nursing Services,48.69,37.98,$209.00,$3.83,$191.03/$186.00,N/A,N/A,N/A,N/A,"326,123",$218.44/$106.65,1
UMC,United Microelectronics Corporation (NEW) Common Stock,$2.57,-0.01,0.39%,"402,545","6,026,136,000",Technology,Semiconductors,19.77,N/A,N/A,$0.13,$2.60/$2.55,$0.065,2.63%,"Jul 15, 2019","Aug 13, 2019",,$2.85/$1.87,1
PIKQF,Pt Indah Kiat P & P (Fgn),$1.10,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
JAZZ,Jazz Pharmaceuticals plc Common Stock (Ireland),$107.15,+2.41,2.3%,"395,986","6,014,683,738",Health Care,Major Pharmaceuticals,11.77,9.83,$165.00,$9.10,$107.50/$105.00,N/A,N/A,N/A,N/A,"750,217",$154.24/$86.88,1
XPO,"XPO Logistics, Inc.",$66.00,+1.94,3.03%,"2,441,762","6,012,978,048",Consumer Services,Transportation Services,18.18,16.14,$80.00,$3.63,$66.50/$63.67,N/A,N/A,N/A,N/A,,$100.18/$38.47,1
REG,Regency Centers Corporation Common Stock,$35.43,-0.19,0.53%,"1,547,732","6,009,525,669",Consumer Services,Real Estate Investment Trusts,24.78,9.42,$62.50,$1.43,$36.11/$34.84,$2.38,6.72%,"Feb 21, 2020","Mar 5, 2020","1,844,621",$70.26/$31.80,1
ON,ON Semiconductor Corporation Common Stock,$14.66,+0.74,5.32%,"5,291,212","6,002,556,982",Technology,Semiconductors,29.32,15.13,$20.00,$0.50,$14.78/$13.97,N/A,N/A,N/A,N/A,"10,160,844",$25.92/$8.17,1
YZCHF,Yanzhou Coal Mining Co Ltd,$0.761,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
CF,"CF Industries Holdings, Inc. Common Stock",$28.00,+0.15,0.54%,"2,617,400","5,986,315,636",Basic Industries,Agricultural Chemicals,12.61,17.19,$36.50,$2.22,$28.46/$27.45,$1.20,4.39%,"Feb 13, 2020","Feb 28, 2020",,$55.15/$19.73,1
ITCFY,Investec Ltd ADR,$12.15,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
ZLIOF,Zoomlion Heavy Industry Science & Technology Co Ltd,$0.76,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
